Name,latitude,longitude,Phylum
Magnoliopsida,28.5408,81.1734,Marchantiophyta
Magnoliopsida,28.5408,81.1734,Magnoliophyta
Insecta,28.5408,81.1734,Magnoliophyta
Insecta,29.97,81.8,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,27.7,86.7,Arthropoda
Magnoliopsida,28.071,85.106,Arthropoda
Magnoliopsida,28.071,85.106,Magnoliophyta
Insecta,28.071,85.106,Magnoliophyta
Insecta,28.071,85.106,Arthropoda
Insecta,28.1333,85.1333,Arthropoda
Insecta,28.668,84.0123,Arthropoda
Insecta,27.15,86.37,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,28.64,81.62,Arthropoda
Insecta,27.58,85,Arthropoda
Insecta,27.58,85,Arthropoda
Insecta,27.58,85,Arthropoda
Insecta,28.1833,85.3167,Arthropoda
Insecta,29.7644,82.5371,Arthropoda
Insecta,27.608,83.7426,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,27.5942,83.7124,Arthropoda
Insecta,27.9473,84.3936,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Liliopsida,27.5996,83.7273,Arthropoda
Magnoliopsida,27.5996,83.7273,Magnoliophyta
Magnoliopsida,27.5996,83.7273,Magnoliophyta
Magnoliopsida,27.465,87.464,Magnoliophyta
Magnoliopsida,27.503,87.459,Magnoliophyta
Magnoliopsida,27.41,87.446,Magnoliophyta
Magnoliopsida,27.25,87.483,Magnoliophyta
Magnoliopsida,27.196,87.462,Magnoliophyta
Liliopsida,27.176,87.425,Magnoliophyta
Magnoliopsida,27.244,87.481,Magnoliophyta
Magnoliopsida,27.292,87.512,Magnoliophyta
Magnoliopsida,27.499,87.465,Magnoliophyta
Liliopsida,27.297,87.516,Magnoliophyta
Magnoliopsida,27.14,87.408,Magnoliophyta
Magnoliopsida,27.504,87.456,Magnoliophyta
Liliopsida,27.41,87.446,Magnoliophyta
Malacostraca,27.348,87.478,Magnoliophyta
Sordariomycetes,26.94,85.024,Arthropoda
Insecta,26.94,85.024,Ascomycota
Insecta,26.94,85.024,Arthropoda
Trematoda,26.94,85.024,Arthropoda
Trematoda,26.94,85.024,Platyhelminthes
Magnoliopsida,27.6166,83.097,Platyhelminthes
Magnoliopsida,27.6166,83.097,Magnoliophyta
Magnoliopsida,27.6166,83.097,Magnoliophyta
Magnoliopsida,27.6166,83.097,Magnoliophyta
Insecta,27.6166,83.097,Magnoliophyta
Insecta,27.78,86.23,Arthropoda
Insecta,27.78,86.23,Arthropoda
Insecta,27.542,85.392,Arthropoda
Insecta,27.542,85.392,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,27.7,86.7,Arthropoda
Insecta,28.1667,85.2833,Arthropoda
Insecta,27.5726,85.3861,Arthropoda
Insecta,27.72,85.52,Arthropoda
Insecta,27.67,85.3524,Arthropoda
Insecta,29,82.4,Arthropoda
Insecta,29.25,82.25,Arthropoda
Insecta,27.09,87.27,Arthropoda
Insecta,27.32,87.52,Arthropoda
Insecta,27.32,87.52,Arthropoda
Insecta,27.32,87.52,Arthropoda
Insecta,27.32,87.52,Arthropoda
Insecta,27.32,87.52,Arthropoda
Insecta,27.817,85.25,Arthropoda
Insecta,27.6333,86.25,Arthropoda
Insecta,27.5918,86.3265,Arthropoda
Insecta,27.5918,86.3265,Arthropoda
Insecta,27.5918,86.3265,Arthropoda
Insecta,27.7897,86.7249,Arthropoda
Insecta,27.7897,86.7249,Arthropoda
Insecta,29.1749,82.1748,Arthropoda
Insecta,29.1749,82.1748,Arthropoda
Insecta,29.4667,82.1,Arthropoda
Insecta,27.608,83.7426,Arthropoda
Insecta,27.608,83.7426,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,27.5888,83.7149,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.6497,84.352,Arthropoda
Insecta,27.5908,83.721,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5909,83.7209,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Insecta,27.5996,83.7273,Arthropoda
Malacostraca,27.5996,83.7273,Arthropoda
Insecta,28.927,83.507,Arthropoda
Mammalia,28.927,83.507,Arthropoda
Mammalia,28.927,83.507,Chordata
Aves,28.927,83.507,Chordata
Magnoliopsida,28.927,83.507,Chordata
Insecta,28.927,83.507,Magnoliophyta
Insecta,28.927,83.507,Arthropoda
Insecta,28.927,83.507,Arthropoda
Insecta,28.927,83.507,Arthropoda
Insecta,28.927,83.507,Arthropoda
Gastropoda,28.927,83.507,Arthropoda
Insecta,28.927,83.507,Mollusca
Chromadorea,28.927,83.507,Arthropoda
Actinopterygii,28.927,83.507,Nematoda
Actinopterygii,28.5408,81.1734,Chordata
Insecta,28.5408,81.1734,Chordata
Insecta,28.5408,81.1734,Arthropoda
Insecta,28.5408,81.1734,Arthropoda
Insecta,28.5408,81.1734,Arthropoda
Gastropoda,28.5408,81.1734,Arthropoda
Cestoda,27.65,85.15,Mollusca
Magnoliopsida,27.65,85.15,Platyhelminthes
Magnoliopsida,27.65,85.15,Magnoliophyta
Insecta,27.65,85.15,Magnoliophyta
Insecta,28.1833,83.9,Arthropoda
Insecta,28.3,83.8167,Arthropoda
Insecta,28.1833,85.2167,Arthropoda
Insecta,28.2333,84.3833,Arthropoda
Insecta,28.2333,84.3833,Arthropoda
Insecta,27.7772,86.1786,Arthropoda
Insecta,28.4,83.683,Arthropoda
Insecta,27.5726,85.3861,Arthropoda
Insecta,27.5726,85.3861,Arthropoda
Bryopsida,27.5726,85.3861,Arthropoda
Insecta,27.5726,85.3861,Bryophyta
Insecta,27.5726,85.3861,Arthropoda
Insecta,28.1667,85.2167,Arthropoda
Insecta,28.1775,85.3925,Arthropoda
Insecta,28.1775,85.3925,Arthropoda
Insecta,27.7517,85.3044,Arthropoda
Insecta,27.7517,85.3044,Arthropoda
Insecta,27.7517,85.3044,Arthropoda
Insecta,27.6102,86.2925,Arthropoda
Insecta,27.6102,86.2925,Arthropoda
Insecta,27.7897,86.7249,Arthropoda
Insecta,28.742,83.8,Arthropoda
Insecta,28.742,83.8,Arthropoda
Insecta,27.64,87.21,Arthropoda
Insecta,28.064,81.62,Arthropoda
Insecta,28.064,81.62,Arthropoda
Insecta,28.064,81.62,Arthropoda
Insecta,28.064,81.62,Arthropoda
Mammalia,29.467,82.1,Arthropoda
Insecta,28.6,83.65,Chordata
Insecta,27.967,85,Arthropoda
